subject,featuregraph_object_id,start_index,peak_index,end_index,is_complete,period_seconds,full_excursion,temporal_symmetry,excluded_by_ann1,excluded_by_ann2,excluded_by_both_annotators
2,1,98.0,283.0,509.0,True,,1.16856,0.9002433090024331,False,False,False
2,43,20324.0,20357.0,20475.0,True,2.224,0.179579,0.4370860927152318,True,True,True
2,44,20475.0,20779.0,20975.0,True,3.376,1.25835,0.784,False,False,False
2,84,40200.0,40201.0,40205.0,True,1.264,0.02460000000000001,0.4,True,True,True
2,85,40205.0,40206.0,40210.0,True,0.04,0.019680000000000003,0.4,True,True,True
2,86,40210.0,40211.0,40216.0,True,0.04,0.019680000000000003,0.33333333333333337,True,True,True
2,87,40216.0,40217.0,40221.0,True,0.048,0.018449000000000007,0.4,True,True,True
2,88,40221.0,40222.0,40226.0,True,0.04,0.01722,0.4,True,True,True
2,89,40226.0,40227.0,40232.0,True,0.04,0.02706100000000001,0.33333333333333337,True,True,True
2,90,40232.0,40233.0,40237.0,True,0.048,0.017219999999999996,0.4,True,True,True
2,91,40237.0,40238.0,40239.0,True,0.04,0.0036900000000000006,1.0,True,True,True
2,127,56703.0,56741.0,56765.0,True,2.32,0.09840000000000002,0.7741935483870968,True,True,True
3,1,98.0,309.0,498.0,True,,0.49266999999999994,0.945,False,False,False
3,30,12468.0,12701.0,12902.0,True,3.744,0.4174,0.9262672811059908,False,False,False
3,31,12902.0,13113.0,13346.0,True,3.296,1.0,0.9504504504504504,True,False,False
4,1,98.0,199.0,393.0,True,,0.47892,0.6847457627118644,False,False,False
4,7,2455.0,2456.0,2457.0,True,1.984,0.0,1.0,True,True,True
4,48,20384.0,20399.0,20402.0,True,2.192,0.021079999999999988,0.33333333333333337,True,True,True
4,54,22521.0,22569.0,22629.0,True,2.032,0.04819000000000001,0.8888888888888888,True,True,True
4,60,24739.0,24740.0,24741.0,True,1.584,0.0,1.0,True,True,True
4,61,24741.0,24742.0,24743.0,True,0.016,0.0030100000000000127,1.0,True,True,True
4,62,24743.0,24744.0,24745.0,True,0.016,0.0,1.0,True,True,True
4,63,24745.0,24746.0,24747.0,True,0.016,0.0,1.0,True,True,True
4,64,24747.0,24748.0,24749.0,True,0.016,0.0,1.0,True,True,True
4,65,24749.0,24750.0,24751.0,True,0.016,0.0,1.0,True,True,True
4,66,24751.0,24752.0,24753.0,True,0.016,0.0030100000000000127,1.0,True,True,True
4,67,24753.0,24754.0,24755.0,True,0.016,0.0,1.0,True,True,True
