selection_rank,source_subject,source_record,header_file,data_file,sampling_rate,source_segment_samples,window_start_sample,window_samples,resp_channel_index,sample_format,raw_window_sha256
1,s00052,3238451_0005,3238451_0005.hea,3238451_0005.dat,125.0,3869120,0,60001,0,16,2d1b6c967b17678551add21ca2a52eb03f9229b0e9a4ac08a1f790a8d2662395
2,s00076,3924340_0004,3924340_0004.hea,3924340_0004.dat,125.0,6765000,0,60001,0,16,af31ac8f9d3bd3bb405ddc8e35418d54066a4a38f793024793dd2af2e192a754
3,s00262,3196146_0004,3196146_0004.hea,3196146_0004.dat,125.0,1636875,0,60001,0,16,592491208a47b12e396997e416196d62764e3842e8ffce8e6f9f5709db88dcac
4,s00402,3616113_0003,3616113_0003.hea,3616113_0003.dat,125.0,385375,0,60001,0,16,21c8292e23e707dd36c12b894d53a875bbee3d1adaea54a62d2979f37b455ed2
5,s00523,3552692_0003,3552692_0003.hea,3552692_0003.dat,125.0,9455000,0,60001,0,16,5a60a6cf74f188ff3dd12057d49a550177524024c1687612563aeaf08216c383
6,s00600,3094477_0004,3094477_0004.hea,3094477_0004.dat,125.0,5836875,0,60001,0,16,4dd9791fd49bd698a6d826b520b440ccd3febafae92d427cec0f206a07b0144d
7,s00618,3481389_0001,3481389_0001.hea,3481389_0001.dat,125.0,316250,0,60001,0,16,1603455392b20bdc5a7051a2f294e62ed01f685884658cc694e5f781e07221df
8,s00631,3125418_0020,3125418_0020.hea,3125418_0020.dat,125.0,3377875,0,60001,4,16,a3a520a0cd6e9170e3351f1aa993adace3c8d08665ed6662c1da47c30980a7cd
9,s00639,3075975_0001,3075975_0001.hea,3075975_0001.dat,125.0,4414000,0,60001,0,16,3ac4aada082a8f9a3954c62cb888d383994215362b49c20d5f247ceb445b2910
10,s00652,3010365_0007,3010365_0007.hea,3010365_0007.dat,125.0,9233875,0,60001,0,16,642dca7b717bc5f3de68d04d09a3b7ad8a4fdee57abedca411200707cceec9c1
11,s00672,3492740_0003,3492740_0003.hea,3492740_0003.dat,125.0,126750,0,60001,0,16,0f606eb679d7abe5e52577e0642bd648d2ab62bcdf3f43bb7359235f3ecd232a
12,s00798,3788315_0004,3788315_0004.hea,3788315_0004.dat,125.0,1893625,0,60001,0,16,b0ce0ebe0c7ef7dd02358b360a1c5d6f8904031cd8c63ae0cdda76cb46f9575c
13,s00801,3054941_0001,3054941_0001.hea,3054941_0001.dat,125.0,4404750,0,60001,0,16,2c051f27b04d8dbfec052432e6afa7aebfd6356c6d60a3274f231d1cf9298866
14,s00870,3725491_0006,3725491_0006.hea,3725491_0006.dat,125.0,2461250,0,60001,0,16,e8e03ce9b8c1a48dfa1fe0c608f3bdfa5966058f4d43deeadff3b096afffbb5b
15,s00946,3462211_0001,3462211_0001.hea,3462211_0001.dat,125.0,1405375,0,60001,1,16,fc9275a0528a7b28c45299c8f4c1d12af965151edd74ec85f24de98496666b9e
16,s00985,3489658_0001,3489658_0001.hea,3489658_0001.dat,125.0,3344750,0,60001,0,16,a83bcf5056c8de31f3f2097bfc43f098945ad86cb2dc37115a817d97e1550c41
17,s01004,3054848_0007,3054848_0007.hea,3054848_0007.dat,125.0,1388625,0,60001,0,16,593293c56e497dacfb463ec0ee3809725bd3fbbf446d2d3f40b4806be9b3911b
18,s01042,3893612_0003,3893612_0003.hea,3893612_0003.dat,125.0,154625,0,60001,0,16,f643bd396a21ed84c343e224f07effc375dacd3a53e751c87c508d67fbda676d
19,s01049,3198094_0007,3198094_0007.hea,3198094_0007.dat,125.0,304750,0,60001,0,16,ab0266a94e8f40d5f71a31c63feea6064ceba97835adc8ffcc67734a8841d490
20,s01158,3063084_0001,3063084_0001.hea,3063084_0001.dat,125.0,2298875,0,60001,0,16,36287782ace03efa81e0190c2d50be3b15d1a7c28e6420fe00945d74e2bf5a6d
